	Tomato Analyzer - Color Data														
	Plot #	 File Name	Fruit No.	Parameter 1  (% surface w/ Hue 70-100)	Parameter 2  (% surface w/ Hue 0-50)	Avg. Red	Avg. Green	Avg. Blue	Avg. Luminosity	Avg. L	Avg. a	Avg. b	 Avg. Hue	Avg. Chroma	comment 
unique#	Plot #	Plot File Name	Fruit	SP:0000351	SP:0000350	SP:0000352	SP:0000355	SP:0000356	SP:0000360	SP:0000357	SP:0000358	SP:0000359	SP:0000361	SP:0000362	
129-1	129	2010_ca_129_fruit_C.jpg	1	.	.	124.1303	53.7216	39.2518	76.8829	34.0145	33.751	22.302	33.456	40.4538	data normalized to color checker
129-2	129	2010_ca_129_fruit_C.jpg	2	.	.	129.5498	54.6941	40.6128	80.0716	35.1238	35.5597	23.1493	33.0641	42.4309	data normalized to color checker
129-3	129	2010_ca_129_fruit_C.jpg	3	.	.	123.6233	56.8879	40.5294	77.2463	34.6315	31.6985	22.3365	35.1706	38.7777	data normalized to color checker
129-4	129	2010_ca_129_fruit_C.jpg	4	.	.	127.1089	52.9936	41.3223	79.2567	34.413	35.5681	21.7452	31.4403	41.6887	data normalized to color checker
129-5	129	2010_ca_129_fruit_C.jpg	5	.	.	138.207	88.9293	52.1286	89.5697	44.097	19.3898	28.2284	55.5151	34.2463	data normalized to color checker
130-1	130	2010_ca_130_fruit_C.jpg	1	.	.	126.0259	62.8982	42.3218	79.2173	36.2397	29.3077	23.3954	38.5993	37.5005	data normalized to color checker
130-2	130	2010_ca_130_fruit_C.jpg	2	.	.	119.6293	59.0745	39.755	75.0021	34.396	28.6284	22.3177	37.9388	36.2996	data normalized to color checker
130-3	130	2010_ca_130_fruit_C.jpg	3	.	.	126.58	58.2047	42.5196	79.5685	35.3017	32.4448	22.1462	34.3167	39.2826	data normalized to color checker
130-4	130	2010_ca_130_fruit_C.jpg	4	.	.	134.8984	68.9086	47.2561	85.717	38.9103	30.0123	24.3503	39.0539	38.6481	data normalized to color checker
130-5	130	2010_ca_130_fruit_C.jpg	5	.	.	125.5515	55.1892	40.5118	78.1418	34.5171	33.6217	22.2628	33.5108	40.3243	data normalized to color checker
131-1	131	2010_ca_131_fruit_C.jpg	1	.	.	143.2132	66.6941	40.1374	86.2821	39.6896	34.4181	29.4971	40.5974	45.3286	data normalized to color checker
131-2	131	2010_ca_131_fruit_C.jpg	2	.	.	133.9641	61.0315	37.7653	80.8089	37.1216	33.5376	27.3292	39.176	43.2626	data normalized to color checker
131-3	131	2010_ca_131_fruit_C.jpg	3	.	.	136.0991	53.5195	40.6963	83.1947	36.0102	38.8696	24.511	32.2354	45.9525	data normalized to color checker
131-4	131	2010_ca_131_fruit_C.jpg	4	.	.	129.9467	54.3597	41.513	80.6828	35.1394	35.9636	22.6432	32.1952	42.4982	data normalized to color checker
131-5	131	2010_ca_131_fruit_C.jpg	5	.	.	133.0146	73.4716	50.3803	86.3034	39.7473	26.5034	23.5272	41.5956	35.4396	data normalized to color checker
132-1	132	2010_ca_132_fruit_C.jpg	1	.	.	135.0906	59.89	44.1702	84.3557	37.109	35.1496	23.8448	34.1522	42.4743	data normalized to color checker
132-2	132	2010_ca_132_fruit_C.jpg	2	.	.	132.7413	59.9224	44.9696	83.6245	36.7667	34.1438	22.8201	33.7569	41.0677	data normalized to color checker
132-3	132	2010_ca_132_fruit_C.jpg	3	.	.	127.2677	82.077	50.2238	83.5253	41.016	18.4314	24.9834	53.5821	31.0465	data normalized to color checker
132-4	132	2010_ca_132_fruit_C.jpg	4	.	.	139.37	60.7596	46.3239	87.3818	37.9798	36.6275	23.8347	33.0534	43.6997	data normalized to color checker
132-5	132	2010_ca_132_fruit_C.jpg	5	.	.	131.8606	70.0361	47.8046	84.5461	38.7741	27.9919	23.7108	40.2666	36.6845	data normalized to color checker
133-1	133	2010_ca_133_fruit_C.jpg	1	.	.	120.9437	44.9332	37.2114	74.4235	31.7354	37.3417	20.5126	28.781	42.6048	data normalized to color checker
133-2	133	2010_ca_133_fruit_C.jpg	2	.	.	132.069	61.4822	42.0142	81.9213	36.9108	32.8222	24.5479	36.793	40.9865	data normalized to color checker
133-3	133	2010_ca_133_fruit_C.jpg	3	.	.	121.3331	46.2581	37.1891	74.5952	32.0105	36.8305	20.8778	29.5473	42.3364	data normalized to color checker
